date,state,city,card_provider,response_code,amount
1459518097,Virginia,Ashburn,MASTERCARD,Approved,181.8017325
1465805678,Ohio,Cincinnati,MASTERCARD,Approved,1062.491683
1461558069,California,Palo Alto,VISA,Insufficient funds,1128.248301
1463731306,Virginia,Ashburn,MASTERCARD,Approved,115.1852449
1458187805,California,Mountain View,VISA,Insufficient funds,1530.710949
1454453159,Ohio,Cincinnati,MASTERCARD,Approved,243.0496283
1460045744,Florida,Melbourne,MASTERCARD,Approved,67.32423047
1464394741,California,Mountain View,MASTERCARD,Approved,286.3237045
1459089580,California,San Ramon,AMEX,Insufficient funds,26.7874562
1457684109,California,Mountain View,AMEX,Approved,719.3977952
1465294311,California,Mountain View,AMEX,Approved,1980.608987
1454043931,Florida,Boynton Beach,MASTERCARD,Do not honor,114.8029582
1466271313,Ohio,Cincinnati,AMEX,Insufficient funds,5215.911267
1464290522,Washington,Redmond,AMEX,Approved,3789.289528
1457169362,New York,Springfield Gardens,VISA,Approved,560.6628357
1460459223,California,Sunnyvale,AMEX,Approved,2506.159453
1460406662,Iowa,Sioux City,AMEX,Insufficient funds,626.9262475
1452764601,California,Mountain View,MASTERCARD,Approved,6181.628279
1454809621,Washington,Redmond,MASTERCARD,Approved,839.304931
1452625286,Ohio,Cincinnati,VISA,Approved,3855.346315
1454910627,California,Palo Alto,MASTERCARD,Do not honor,281.8575972
1460704021,Colorado,Englewood,AMEX,Approved,1127.416693
1464172749,California,Menlo Park,VISA,Approved,458.7278021
1456215671,California,Mountain View,MASTERCARD,Approved,4168.30352
1455487798,California,Mountain View,MASTERCARD,Approved,2051.070153
1458476415,Ohio,Cincinnati,VISA,Approved,1295.300007
1465462686,California,Menlo Park,VISA,Approved,1397.802149
1452564220,California,Palo Alto,AMEX,Do not honor,3848.702247
1464933203,Virginia,Ashburn,MASTERCARD,Approved,3183.598195
1465696398,Washington,Redmond,AMEX,Approved,338.2428863
1457081423,California,Sunnyvale,MASTERCARD,Do not honor,2268.688957
1463493058,California,Mountain View,VISA,Approved,1000.058403
1465093009,California,Mountain View,VISA,Approved,157.5644243
1457250559,Ohio,Cincinnati,VISA,Approved,2085.961701
1466067452,Washington,Seattle,VISA,Approved,5738.309268
1464217052,Illinois,Lombard,MASTERCARD,Approved,2268.314529
1457860731,California,Sunnyvale,MASTERCARD,Do not honor,2668.894861
1454802814,Illinois,Elk Grove Village,DISCOVER,Insufficient funds,2175.852747
1460511131,California,Mountain View,AMEX,Approved,67.15557892
1456013187,New York,Brooklyn,VISA,Do not honor,416.53593
1459443765,California,Mountain View,VISA,Approved,5196.161291
1458007065,California,Mountain View,VISA,Insufficient funds,1533.787193
1463355613,California,Menlo Park,MASTERCARD,Approved,169.8359376
1456193674,California,Mountain View,VISA,Approved,37.04642228
1463747263,California,Sunnyvale,AMEX,Insufficient funds,5443.223672
1456625559,Illinois,Lombard,MASTERCARD,Restricted card,959.3623427
1467334539,Ohio,Cincinnati,VISA,Approved,2528.783783
1454241249,California,Mountain View,VISA,Approved,1457.155887
1452079673,New Jersey,Absecon,DISCOVER,Approved,130.8542426
1465768326,California,Mountain View,VISA,Approved,1438.651935
1461477065,Ohio,Cincinnati,MASTERCARD,Do not honor,1420.123138
1458422211,California,Menlo Park,VISA,Approved,219.4514794
1455054579,Ohio,Cincinnati,AMEX,Insufficient funds,239.3817989
1456477353,California,Menlo Park,MASTERCARD,Approved,472.7918534
1456951336,Virginia,Ashburn,MASTERCARD,Approved,5667.228228
1464868254,Washington,Redmond,VISA,Insufficient funds,664.7694627
1465308652,California,Menlo Park,MASTERCARD,Approved,1426.003704
1458771091,Indiana,Indianapolis,VISA,Approved,2755.211415
1457880723,California,Mountain View,AMEX,Insufficient funds,3373.997601
1454769207,California,Mountain View,VISA,Approved,151.1070201
1464762205,Ohio,Cincinnati,VISA,Approved,2352.965426
1459502458,California,Mountain View,AMEX,Approved,342.289404
1466413734,Ohio,Cincinnati,AMEX,Approved,4012.793972
1458928123,Florida,Gainesville,MASTERCARD,Approved,620.6032183
1461739373,California,Pasadena,MASTERCARD,Approved,3693.008054
1460488080,Georgia,Duluth,VISA,Do not honor,559.1683195
1465137909,California,Mountain View,MASTERCARD,Approved,6485.312863
1459179541,Virginia,Ashburn,MASTERCARD,Approved,4093.781575
1458067207,Ohio,Xenia,VISA,Approved,508.9832681
1456112718,Virginia,Ashburn,DISCOVER,Do not honor,333.6992198
1456520335,Missouri,Kansas City,MASTERCARD,Invalid transaction,201.1471349
1464939797,California,Sunnyvale,AMEX,Insufficient funds,1909.081535
1454752401,California,Mountain View,MASTERCARD,Incorrect PIN,2240.51557
1457817835,New Hampshire,Nashua,MASTERCARD,Restricted card,3740.473344
1457773858,California,Mountain View,MASTERCARD,Issuer unavailable,1890.282965
1452742080,Washington,Redmond,AMEX,Approved,1426.725313
1462956341,California,Mountain View,VISA,Approved,2146.01909
1463986631,Ohio,Cincinnati,AMEX,Approved,288.5811481
1455507771,California,San Francisco,MASTERCARD,Approved,313.4405299
1464704310,California,San Francisco,MASTERCARD,Approved,2244.892971
1462852990,Virginia,Ashburn,MASTERCARD,Approved,2838.606662
1462523433,California,San Francisco,VISA,Approved,976.26335
1464228780,California,Menlo Park,VISA,Approved,2961.344743
1456631116,California,Menlo Park,VISA,Approved,3.745044542
1459124030,Illinois,Chicago Heights,VISA,Approved,498.7924536
1465198637,Washington,Redmond,AMEX,Approved,4059.309766
1464246252,Ohio,Cincinnati,VISA,Approved,4659.605457
1456010304,California,Mountain View,AMEX,Do not honor,118.2422616
1454580813,California,Mountain View,VISA,Insufficient funds,3041.056339
1455071959,California,Mountain View,MASTERCARD,Approved,1488.351371
1463258775,Iowa,Sioux City,MASTERCARD,Approved,111.1520875
1452391718,California,San Francisco,VISA,Approved,1723.626175
1465576718,California,Mountain View,VISA,Insufficient funds,1213.350138
1454530052,California,Mountain View,VISA,Approved,400.3835217
1452492291,New Jersey,Union Township,MASTERCARD,Approved,3777.019187
1453769941,California,Mountain View,MASTERCARD,Approved,3688.092738
1452788601,Ohio,Cincinnati,VISA,Do not honor,408.1766134
1465160658,Washington,Redmond,VISA,Insufficient funds,4092.426649
1452425733,Ohio,Cincinnati,VISA,Approved,3574.803195
1464923046,California,Menlo Park,MASTERCARD,Do not honor,163.9936342
1453494486,California,San Francisco,VISA,Insufficient funds,113.6508408
1467277964,California,Berkeley,MASTERCARD,Approved,3070.694932
1455100673,Washington,Redmond,VISA,Approved,493.5466181
1461364851,California,Mountain View,AMEX,Approved,532.2441897
1456033509,Washington,Redmond,MASTERCARD,Approved,3122.530499
1452943985,Washington,Seattle,MASTERCARD,Approved,1705.622729
1457973080,Washington,Seattle,MASTERCARD,Approved,5152.263446
1453166321,Iowa,Sioux City,MASTERCARD,Approved,297.7421659
1454799385,California,Menlo Park,AMEX,Approved,7088.051301
1466700829,Ohio,Cincinnati,VISA,Approved,2184.903408
1459750864,California,Mountain View,VISA,Insufficient funds,1125.794314
1458763442,Washington,Redmond,MASTERCARD,Approved,3383.72703
1453035690,Washington,Redmond,MASTERCARD,Approved,1134.617943
1457080542,California,San Francisco,VISA,Approved,1783.96579
1453015934,California,San Mateo,MASTERCARD,Pick-up card,6882.164666
1458073055,California,Sunnyvale,AMEX,Do not honor,5562.948815
1455789646,Washington,Redmond,AMEX,Insufficient funds,1978.777672
1460738636,Ohio,Cincinnati,AMEX,Restricted card,3227.142463
1459388301,California,Mountain View,AMEX,Approved,1681.180969
1460376529,California,Mountain View,MASTERCARD,Pick-up card,4861.500198
1455522004,Washington,Redmond,VISA,Do not honor,1689.312427
1454040699,Washington,Redmond,VISA,Invalid amount,1064.285701
1466384815,California,Menlo Park,VISA,Insufficient funds,1417.26385
1457365528,Ohio,Cincinnati,VISA,Expired card,451.1711254
1460628835,Washington,Redmond,DISCOVER,Incorrect PIN,357.2450318
1463692578,Washington,Redmond,VISA,Restricted card,163.4817049
1462730986,Washington,Redmond,MASTERCARD,PIN tries exceeded,715.8728245
1461543057,Ohio,Cincinnati,MASTERCARD,Issuer unavailable,5.026986191
1462897773,Washington,Redmond,AMEX,Approved,6302.048894
1460173958,California,Mountain View,VISA,Approved,5897.408209
1456533830,California,Mountain View,AMEX,Insufficient funds,1808.912758
1452048171,California,Sunnyvale,AMEX,Approved,469.6673959
1452280083,California,Mountain View,VISA,Do not honor,1379.303568
1453303766,California,Mountain View,VISA,Approved,4993.848714
1457436492,California,Menlo Park,VISA,Approved,1122.452082
1454786060,California,Mountain View,MASTERCARD,Approved,13.83434037
1457297256,California,Mountain View,MASTERCARD,Do not honor,722.0921302
1465683128,Washington,Redmond,AMEX,Invalid amount,103.9909351
1456646213,Washington,Redmond,AMEX,Insufficient funds,7984.324804
1467407932,California,San Francisco,MASTERCARD,Incorrect PIN,3488.735917
1465344790,Ohio,Cincinnati,DISCOVER,Restricted card,1226.229285
1458775926,California,Menlo Park,AMEX,Approved,4986.515755
1459069669,Florida,Fort Lauderdale,MASTERCARD,Approved,606.7279293
1460944907,California,Menlo Park,MASTERCARD,Do not honor,70.94469528
1463948308,Washington,Redmond,VISA,Insufficient funds,1248.111237
1465469678,Washington,Redmond,AMEX,Approved,863.996301
1464074932,Virginia,Ashburn,VISA,Approved,461.0612288
1464869331,Washington,Redmond,AMEX,Approved,81.63297199
1455860097,California,Mountain View,MASTERCARD,Approved,1062.74165
1452405200,Ohio,Cincinnati,MASTERCARD,Do not honor,1609.344766
1454361793,California,Sunnyvale,MASTERCARD,Insufficient funds,8662.894876
1462253807,Washington,Redmond,VISA,Issuer unavailable,1703.586225
1459398817,California,Sunnyvale,MASTERCARD,Approved,852.2118637
1463795847,Ohio,Cincinnati,VISA,Approved,5646.282597
1466498462,Washington,Redmond,MASTERCARD,Approved,832.4397737
1461963947,California,Sunnyvale,VISA,Insufficient funds,4238.805041
1459960898,Washington,Seattle,VISA,Incorrect PIN,43.10844342
1461680585,Washington,Redmond,MASTERCARD,Approved,515.1028186
1458822986,Virginia,Ashburn,AMEX,Do not honor,3840.480802
1466430417,California,San Francisco,AMEX,Insufficient funds,1121.388959
1455593701,California,Menlo Park,MASTERCARD,Approved,807.9189859
1461845984,Ohio,Cincinnati,MASTERCARD,Approved,2665.305095
1463138294,Washington,Redmond,VISA,Pick-up card,3924.505532
1461660735,Washington,Redmond,VISA,Do not honor,2743.968322
1453994277,Washington,Redmond,MASTERCARD,Approved,1583.87187
1457772177,Washington,Redmond,VISA,Approved,14.86666224
1464762968,Washington,Redmond,AMEX,Insufficient funds,360.5816767
1453304757,Washington,Redmond,AMEX,Approved,3779.767867
1463633894,California,San Jose,AMEX,Approved,1002.889304
1458925589,California,Mountain View,AMEX,Do not honor,316.9786202
1463366137,California,Mountain View,AMEX,Invalid amount,25.06286847
1463615022,Washington,Seattle,VISA,Insufficient funds,621.974941
1464194275,Virginia,Ashburn,VISA,Approved,2949.187821
1460345769,California,Mountain View,MASTERCARD,Invalid amount,299.1122686
1454625916,Florida,Clearwater,DISCOVER,Insufficient funds,1161.119393
1466007155,California,Mountain View,MASTERCARD,Approved,6732.54056
1465663091,Ohio,Cincinnati,VISA,Approved,88.87133631
1465457809,Virginia,Ashburn,AMEX,Do not honor,36.52510761
1453203852,Washington,Seattle,MASTERCARD,Insufficient funds,2916.228364
1463475359,Ohio,Cincinnati,AMEX,Approved,3941.801325
1458560920,New Jersey,Absecon,AMEX,Approved,1762.928071
1464994090,Washington,Seattle,MASTERCARD,Approved,1178.539087
1463298851,Ohio,Cincinnati,VISA,Approved,5213.288487
1452954131,Virginia,Ashburn,AMEX,Do not honor,1404.946084
1466356928,California,Mountain View,VISA,Insufficient funds,94.13529594
1459430751,California,Mountain View,VISA,Incorrect PIN,737.9812237
1459643084,California,San Mateo,AMEX,Approved,120.6242562
1464407947,Washington,Redmond,VISA,Do not honor,2387.884367
1454700270,New York,New York,VISA,Approved,70.02516826
1464056021,California,Mountain View,VISA,Approved,167.3247489
1459565673,California,Mountain View,AMEX,Approved,423.5989167
1461763535,California,Mountain View,VISA,Do not honor,1368.274595
1460664548,Nebraska,Lincoln,VISA,Approved,11.07456331
1467208027,Virginia,Ashburn,MASTERCARD,Incorrect PIN,1280.418448
1453324222,California,Sunnyvale,VISA,Approved,4906.065281
1456723148,Virginia,Ashburn,AMEX,Approved,2765.599963
1459885022,Washington,Redmond,MASTERCARD,Approved,92.76352671
1464315393,Ohio,Cincinnati,VISA,Do not honor,969.4183699
1452530238,California,Menlo Park,AMEX,Insufficient funds,994.7000932
1456800702,California,San Francisco,MASTERCARD,Approved,432.6623006
1456105373,Ohio,Cincinnati,MASTERCARD,Insufficient funds,2771.739158
1451719732,California,Santa Clara,AMEX,Approved,40.53684807
1460064365,Missouri,Kansas City,AMEX,Incorrect PIN,464.6077691
1456328672,Ohio,Cincinnati,VISA,Approved,673.5855982
1464149861,California,Mountain View,AMEX,Approved,2836.2644
1458579215,California,Mountain View,VISA,Approved,549.8069944
1457419299,Delaware,Wilmington,AMEX,Approved,3449.003622
1453988598,New York,Buffalo,MASTERCARD,Approved,3211.241868
1465633185,California,San Francisco,VISA,Approved,2611.965649
1453547895,California,San Francisco,MASTERCARD,Approved,2473.436049
1462621281,California,San Francisco,VISA,Approved,107.6926071
1451949889,Ohio,Cincinnati,AMEX,Approved,4281.279455
1455331062,Washington,Redmond,VISA,Approved,290.6955475
1455617912,California,Mountain View,VISA,Approved,7954.260191
1464033961,California,Mountain View,MASTERCARD,Do not honor,2836.140618
1463763727,California,Sunnyvale,AMEX,Insufficient funds,2298.868289
1453447302,Washington,Redmond,MASTERCARD,Approved,1746.826939
1452192064,California,Mountain View,VISA,Approved,2518.057053
1462576894,California,Emeryville,VISA,Approved,1550.103182
1456034881,California,Menlo Park,DISCOVER,Do not honor,100.5486046
1453432755,Ohio,Cincinnati,VISA,Invalid transaction,2.642909178
1465174000,Colorado,Denver,VISA,Approved,2793.917372
1453493972,California,Sunnyvale,VISA,Approved,12.06254211
1456324488,Virginia,Ashburn,AMEX,Approved,995.6064962
1453142441,California,Mountain View,AMEX,Approved,21.83041492
1456132250,Virginia,Ashburn,AMEX,Approved,992.4303891
1453212014,Washington,Redmond,VISA,Approved,1472.675468
1466283720,Kentucky,Louisville,VISA,Do not honor,7923.988334
1452753469,California,Mountain View,DISCOVER,Approved,3254.112013
1461323734,California,Mountain View,MASTERCARD,Approved,310.4463993
1459455054,California,Mountain View,VISA,Approved,5508.468324
1454016149,Washington,Redmond,MASTERCARD,Approved,3062.54001
1458281819,Ohio,Cincinnati,MASTERCARD,Approved,4.422718287
1464603038,California,Mountain View,VISA,Approved,7452.834348
1461031986,Washington,Redmond,VISA,Approved,5704.713843
1463682119,California,Mountain View,MASTERCARD,Approved,264.6099795
1453095904,California,Mountain View,VISA,Approved,599.1436898
1452134440,Washington,Redmond,VISA,Insufficient funds,3041.215712
1456654643,Washington,Redmond,AMEX,Approved,356.096986
1466825584,California,Tustin,VISA,Approved,61.71749453
1463105067,Ohio,Cincinnati,VISA,Approved,3382.444471
1458754683,California,Mountain View,AMEX,Approved,3936.021507
1459878264,California,Mountain View,VISA,Do not honor,1068.069674
1451842875,Washington,Redmond,VISA,Approved,2185.495324
1458087009,Virginia,Ashburn,VISA,Do not honor,857.9014499
1460886025,California,Sunnyvale,MASTERCARD,Insufficient funds,329.2967388
1466856086,California,San Jose,VISA,Approved,467.6567299
1456023479,California,San Francisco,AMEX,Approved,710.1775177
1466030204,California,Cupertino,AMEX,Approved,148.3031679
1460555518,California,San Francisco,AMEX,Do not honor,122.4542383
1463301733,California,Menlo Park,MASTERCARD,Approved,1056.379563
1453391694,California,Menlo Park,MASTERCARD,Approved,4828.566532
1463955729,Washington,Redmond,MASTERCARD,Insufficient funds,782.6209715
1464624037,Washington,Redmond,MASTERCARD,Approved,825.5502761
1463669083,Washington,Redmond,MASTERCARD,Pick-up card,596.0949749
1461498271,Washington,Redmond,VISA,Do not honor,1973.654582
1467033048,Washington,Redmond,MASTERCARD,Insufficient funds,3401.476444
1453899176,California,Los Altos,VISA,Approved,319.3495626
1460875836,California,Mountain View,DISCOVER,Approved,9.568147721
1466315185,Michigan,Ann Arbor,AMEX,Insufficient funds,183.3596521
1454474158,California,Riverside,MASTERCARD,Approved,1161.631672
1458860664,Virginia,Ashburn,MASTERCARD,Approved,1735.737624
1458036116,California,Mountain View,VISA,Insufficient funds,317.341494
1453055895,Michigan,Grand Blanc,VISA,Approved,411.6525217
1456296232,Washington,Redmond,AMEX,Approved,2555.323306
1463223738,Ohio,Cincinnati,MASTERCARD,Approved,505.5963083
1463944688,California,Menlo Park,AMEX,Do not honor,2415.94156
1458624734,North Carolina,Cashiers,VISA,Insufficient funds,750.1574874
1453126425,Ohio,Cincinnati,MASTERCARD,Approved,1632.321508
1454746963,Wisconsin,Waukesha,VISA,Approved,667.5142743
1461656863,Virginia,Ashburn,MASTERCARD,Approved,2122.380773
1463588716,Missouri,Kansas City,MASTERCARD,Approved,3654.547152
1454167535,California,Sunnyvale,MASTERCARD,Approved,5682.900177
1460827406,Virginia,Ashburn,MASTERCARD,Approved,222.047421
1466645551,Ohio,Cincinnati,VISA,Approved,715.5513244
1465960116,California,Menlo Park,AMEX,Approved,121.6586197
1459385785,California,Mountain View,VISA,Approved,1062.862022
1464001558,Ohio,Cincinnati,VISA,Approved,436.2555379
1459638961,California,Mountain View,AMEX,Insufficient funds,316.9777323
1459072337,California,Mountain View,VISA,Approved,1.927296447
1459763667,Washington,Seattle,MASTERCARD,Approved,3006.297425
1459236835,California,Menlo Park,VISA,Approved,10459.61437
1453026825,Nevada,Las Vegas,AMEX,Approved,278.3035158
1459459700,California,Sunnyvale,AMEX,Approved,4466.698129
1465978072,Washington,Redmond,VISA,Approved,774.9194434
1451705642,Washington,Redmond,VISA,Approved,731.5454806
1464053794,South Carolina,Lexington,VISA,Approved,518.3205329
1452410465,Ohio,Cincinnati,VISA,Do not honor,587.6518079
1463982536,California,Mountain View,AMEX,Insufficient funds,383.2312523
1467038811,California,Mountain View,MASTERCARD,Approved,1045.751355
1462990519,Virginia,Ashburn,MASTERCARD,Do not honor,2294.425198
1452421841,Iowa,Des Moines,AMEX,Insufficient funds,963.8019588
1467195537,California,Menlo Park,AMEX,Approved,2566.852294
1461017634,California,Mountain View,VISA,Insufficient funds,71.03942858
1459716717,Washington,Redmond,VISA,Approved,29.77148904
1457776921,Washington,Redmond,VISA,Do not honor,863.3215868
1466416581,Washington,Redmond,MASTERCARD,Approved,3864.799637
1463540841,Washington,Redmond,MASTERCARD,Insufficient funds,2215.727344
1466659801,Washington,Seattle,VISA,Approved,5708.607576
1455107823,California,San Francisco,MASTERCARD,Approved,1579.809843
1458170060,South Dakota,Sioux Falls,MASTERCARD,Approved,1935.833152
1454099442,California,Menlo Park,MASTERCARD,Approved,3434.870955
1452435683,California,Mountain View,VISA,Approved,518.9448005
1460762518,New York,Nanuet,VISA,Approved,503.3949703
1464503919,California,Menlo Park,VISA,Approved,322.0185931
1456294313,California,Van Nuys,VISA,Approved,886.4504495
1456493428,Virginia,Ashburn,AMEX,Insufficient funds,3275.278464
1451770840,Ohio,Cincinnati,MASTERCARD,Approved,1075.625752
1459433366,California,Mountain View,MASTERCARD,Approved,1288.748221
1462627572,California,Mountain View,DISCOVER,Approved,4964.791513
1452923591,Washington,Redmond,MASTERCARD,Approved,1532.235872
1462287454,Virginia,Ashburn,VISA,Do not honor,590.1029221
1465804435,California,Mountain View,MASTERCARD,Insufficient funds,1251.609633
1453779964,California,Mountain View,AMEX,Approved,566.9773433
1460526657,California,Menlo Park,VISA,Approved,2800.797964
1462917294,Ohio,Cincinnati,MASTERCARD,Approved,2204.290027
1466056088,Virginia,Ashburn,VISA,Approved,23.99189408
1454258929,California,Mountain View,VISA,Approved,771.7549768
1466526770,Washington,Seattle,AMEX,Approved,1356.123933
1454567553,California,Menlo Park,MASTERCARD,Insufficient funds,414.8276429
1457323041,Virginia,Ashburn,MASTERCARD,Approved,140.3982082
1455986874,California,Mountain View,MASTERCARD,Approved,73.23328378
1456481113,California,Mountain View,AMEX,Approved,1403.658819
1461582059,California,Mountain View,VISA,Do not honor,232.9991152
1452782083,California,Mountain View,VISA,Insufficient funds,850.0231271
1454012530,Virginia,Ashburn,AMEX,Restricted card,427.2612463
1454946204,Georgia,Columbus,AMEX,Approved,3638.137071
1457272214,California,Sunnyvale,MASTERCARD,Approved,456.5816065
1452712490,Ohio,Cincinnati,VISA,Approved,1239.275311
1453877149,Oregon,Boardman,VISA,Approved,326.8231871
1456769090,California,Mountain View,VISA,Do not honor,3251.190011
1452866053,California,San Francisco,MASTERCARD,Approved,2279.385408
1454730328,Washington,Seattle,VISA,Approved,3696.87974
1456669477,California,San Jose,MASTERCARD,Approved,409.2362242
1456290933,Washington,Seattle,MASTERCARD,Approved,112.5028901
1466710932,California,Brea,MASTERCARD,Do not honor,2735.753991
1461450970,California,Mountain View,MASTERCARD,Insufficient funds,456.8350899
1453428992,California,Menlo Park,VISA,Approved,1351.067651
1453954637,California,Sunnyvale,AMEX,Approved,2924.546394
1455393740,Ohio,Cincinnati,VISA,Approved,2077.457865
1454989772,Washington,Seattle,MASTERCARD,Approved,458.9633903
1451741527,Missouri,St Louis,MASTERCARD,Do not honor,985.0010829
1459827515,California,Mountain View,VISA,Approved,736.9562089
1465071902,Ohio,Cincinnati,MASTERCARD,Do not honor,2175.516774
1456382990,California,Mountain View,VISA,Approved,440.8230263
1455258187,California,Mountain View,MASTERCARD,Approved,241.8570958
1456800710,California,Mountain View,MASTERCARD,Approved,576.523224
1461873262,California,Mountain View,VISA,Insufficient funds,7734.718961
1452497430,California,Los Angeles,VISA,Approved,2312.351291
1458934087,Ohio,Cincinnati,MASTERCARD,Invalid amount,1609.278833
1452241714,New Jersey,Absecon,VISA,Insufficient funds,2630.195303
1462690528,Virginia,Ashburn,MASTERCARD,Approved,930.2759277
1453246816,New Mexico,Albuquerque,VISA,Incorrect PIN,200.1040866
1455319203,California,San Francisco,AMEX,Approved,40.6349518
1457441068,California,Sunnyvale,VISA,Do not honor,5.980004438
1456402942,Washington,Seattle,VISA,Insufficient funds,3900.655162
1461886867,California,San Francisco,AMEX,Incorrect PIN,0.395670836
1453291930,Ohio,Cincinnati,VISA,Restricted card,19.22663953
1451794827,California,Mountain View,MASTERCARD,Approved,1301.065238
1451756269,California,Mountain View,MASTERCARD,Approved,2163.146701
1461698924,California,Mountain View,VISA,Approved,1013.129595
1462670001,California,Mountain View,VISA,No credit account,732.8716853
1460530226,California,Mountain View,VISA,Insufficient funds,110.0692477
1467346220,California,Mountain View,VISA,Incorrect PIN,393.9321431
1459283656,Washington,Redmond,VISA,Restricted card,71.72721931
1452178539,Ohio,Cincinnati,MASTERCARD,PIN tries exceeded,273.7439205
1453382584,California,Colton,DISCOVER,Approved,38.68033718
1462295705,Minnesota,Minneapolis,MASTERCARD,Approved,2868.893518
1466349358,California,Mountain View,VISA,Insufficient funds,4963.789801
